STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UMC,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2012,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,7368000.0,A,Annual,Upper middle income,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2012,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,5736.0,A,Annual,Albania,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2012,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,20411.0809684433,A,Annual,Algeria,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ATG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2012,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,42.0,A,Annual,Antigua and Barbuda,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2012,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,872.936431155074,A,Annual,Argentina,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2012,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,7661.0,A,Annual,Armenia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2010,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,308248.0,A,Annual,Zambia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UMC,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2020,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,9879000.0,A,Annual,Upper middle income,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2020,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,10359.0,A,Annual,Albania,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2020,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,11103.7051376756,A,Annual,Algeria,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AND,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2020,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,389.0,A,Annual,Andorra,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2020,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,36812.945483366,A,Annual,Argentina,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2020,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,14802.0,A,Annual,Armenia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2007,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,171316.0,A,Annual,Zambia,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2017,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,399691.0,A,Annual,"Venezuela, RB","Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SE_PRM_UNER,_T,_T,_T,CH,_Z,_Z,_Z,2017,_Z,COUNT,2,WB_WDI,P1Y,"Children out of school, primary",0,WB_WDI,PU,51872.4235661905,A,Annual,Vietnam,"Children out of school, primary",Total,All age ranges or no breakdown by age,Total,Children,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
